Characteristics of Influenza-Associated Pediatric Deaths (data downloaded on 2/28/2019)
SEASON,CHARACTERISTIC,GROUP,COUNT,PERCENT
2015-16,AgeGroup,0-5 mo,6,6.4
2015-16,AgeGroup,6-23 mo,17,18.1
2015-16,AgeGroup,2-4 yr,20,21.3
2015-16,AgeGroup,5-11 yr,29,30.9
2015-16,AgeGroup,12-17 yr,22,23.4
2015-16,Sex,Male,38,40.4
2015-16,Sex,Female,56,59.6
2015-16,Conditions,Yes       ,47,52.2
2015-16,Conditions,No        ,43,47.8
2015-16,Bacterial Coinfectio,Yes       ,20,44.4
2015-16,Bacterial Coinfectio,No        ,25,55.6
2015-16,OnsetToDeath,0,3,3.4
2015-16,OnsetToDeath,1,7,8
2015-16,OnsetToDeath,2,6,6.8
2015-16,OnsetToDeath,3,7,8
2015-16,OnsetToDeath,4,13,14.8
2015-16,OnsetToDeath,5,8,9.1
2015-16,OnsetToDeath,6,5,5.7
2015-16,OnsetToDeath,7,4,4.5
2015-16,OnsetToDeath,8,5,5.7
2015-16,OnsetToDeath,9,2,2.3
2015-16,OnsetToDeath,10,3,3.4
2015-16,OnsetToDeath,11,1,1.1
2015-16,OnsetToDeath,12,4,4.5
2015-16,OnsetToDeath,13,1,1.1
2015-16,OnsetToDeath,14,2,2.3
2015-16,OnsetToDeath,15,3,3.4
2015-16,OnsetToDeath,16,1,1.1
2015-16,OnsetToDeath,18,1,1.1
2015-16,OnsetToDeath,20,2,2.3
2015-16,OnsetToDeath,22,2,2.3
2015-16,OnsetToDeath,28,1,1.1
2015-16,OnsetToDeath,30+,7,8
2015-16,Location of Death,Outside Hospital,16,17.2
2015-16,Location of Death,Emergency Department,20,21.5
2015-16,Location of Death,Hospital Admitted,57,61.3
2016-17,AgeGroup,0-5 mo,7,6.4
2016-17,AgeGroup,6-23 mo,15,13.6
2016-17,AgeGroup,2-4 yr,16,14.5
2016-17,AgeGroup,5-11 yr,40,36.4
2016-17,AgeGroup,12-17 yr,32,29.1
2016-17,Sex,Male,52,47.3
2016-17,Sex,Female,58,52.7
2016-17,Conditions,Yes       ,44,44.4
2016-17,Conditions,No        ,55,55.6
2016-17,Bacterial Coinfectio,Yes       ,26,44.8
2016-17,Bacterial Coinfectio,No        ,32,55.2
2016-17,OnsetToDeath,0,5,4.7
2016-17,OnsetToDeath,1,9,8.5
2016-17,OnsetToDeath,2,7,6.6
2016-17,OnsetToDeath,3,18,17
2016-17,OnsetToDeath,4,9,8.5
2016-17,OnsetToDeath,5,7,6.6
2016-17,OnsetToDeath,6,8,7.5
2016-17,OnsetToDeath,7,6,5.7
2016-17,OnsetToDeath,8,1,0.9
2016-17,OnsetToDeath,9,3,2.8
2016-17,OnsetToDeath,10,3,2.8
2016-17,OnsetToDeath,11,2,1.9
2016-17,OnsetToDeath,12,2,1.9
2016-17,OnsetToDeath,13,3,2.8
2016-17,OnsetToDeath,16,1,0.9
2016-17,OnsetToDeath,19,2,1.9
2016-17,OnsetToDeath,20,1,0.9
2016-17,OnsetToDeath,21,2,1.9
2016-17,OnsetToDeath,22,1,0.9
2016-17,OnsetToDeath,30+,16,15.1
2016-17,Location of Death,Outside Hospital,19,17.6
2016-17,Location of Death,Emergency Department,17,15.7
2016-17,Location of Death,Hospital Admitted,72,66.7
2017-18,AgeGroup,0-5 mo,13,7
2017-18,AgeGroup,6-23 mo,30,16.2
2017-18,AgeGroup,2-4 yr,33,17.8
2017-18,AgeGroup,5-11 yr,65,35.1
2017-18,AgeGroup,12-17 yr,44,23.8
2017-18,Sex,Male,83,44.9
2017-18,Sex,Female,102,55.1
2017-18,Conditions,Yes       ,83,50
2017-18,Conditions,No        ,83,50
2017-18,Bacterial Coinfectio,Yes       ,33,50.8
2017-18,Bacterial Coinfectio,No        ,32,49.2
2017-18,OnsetToDeath,0,8,4.9
2017-18,OnsetToDeath,1,12,7.4
2017-18,OnsetToDeath,2,24,14.7
2017-18,OnsetToDeath,3,18,11
2017-18,OnsetToDeath,4,12,7.4
2017-18,OnsetToDeath,5,11,6.7
