Influenza-Associated Pediatric Deaths by HHS Region (data downloaded on 2/28/2019)
SEASON,REGION,RATE,COUNT
2015-16,1,1.6,5
2015-16,2,1.1,7
2015-16,3,0.9,6
2015-16,4,1.2,17
2015-16,5,1.1,14
2015-16,6,1.2,12
2015-16,7,0.9,3
2015-16,8,1.8,5
2015-16,9,1.9,23
2015-16,10,0.7,2
2016-17,1,1.6,5
2016-17,2,1.3,8
2016-17,3,1.3,9
2016-17,4,1.8,26
2016-17,5,1.8,23
2016-17,6,1.1,11
2016-17,7,2.4,8
2016-17,8,0.7,2
2016-17,9,1,12
2016-17,10,2,6
2017-18,1,1.6,5
2017-18,2,1.7,11
2017-18,3,2.7,18
2017-18,4,3.2,45
2017-18,5,2.6,32
2017-18,6,3.2,32
2017-18,7,1.2,4
2017-18,8,1.8,5
2017-18,9,2.4,28
2017-18,10,1.6,5
2018-19,1,0.6,2
2018-19,2,0.6,4
2018-19,3,0.3,2
2018-19,4,0.6,8
2018-19,5,0.5,6
2018-19,6,0.5,5
2018-19,7,0.9,3
2018-19,8,2.1,6
2018-19,9,0.3,3
2018-19,10,0,0
