"","id","text","queryMetadata.query","created_at","user.screen_name","longitude","latitude","state","city"
"1",1101627833036783616,"Do 2000s babies even remember the H1N1 virus","H1N1","2019-03-01T18:38:37Z","improvised__",-77.4360481,37.5407246,"Virginia","Richmond City"
"3",1101621690172354560,"CDC: Dangerous flu strain overtakes H1N1 this season https://upi.com/6884453t  via
@
upi","H1N1","2019-03-01T18:14:12Z","WxOneNews",-80.8431267,35.2270869,"North Carolina","Charlotte"
"5",1101614969693618176,"It's not over yet: flu continues spreading in the U.S. And there is even potentially worse news: An influenza double dip, as H1N1 recedes and H3N2 comes out to play. Your earlier illness may not protect you. https://www.bloomberg.com/news/articles/2019-03-01/the-flu-is-spreading-across-america-a-little-later-this-season … via
@
business","H1N1","2019-03-01T17:47:30Z","FayCortez",-93.2650108,44.977753,"Minnesota","Minneapolis"
"6",1101608376847474688,"CDC: Dangerous flu strain overtakes H1N1 this season https://upi.com/6884453t  via
@
upi","H1N1","2019-03-01T17:21:18Z","dicewritesdc",-77.0423372,38.9127897,"District of Columbia","Washington"
"7",1101605605394075648,"FDA's Critical Role in Ensuring Supply of Influenza Vaccine http://s.einnews.com/p5idu3MDpU","H1N1","2019-03-01T17:10:17Z","EINH1N1News",-77.0368707,38.9071923,"District of Columbia","Washington"
"8",1101605202971512832,"CDC: Dangerous flu strain overtakes H1N1 this season ... http://hotpagenews.com/r/254678","H1N1","2019-03-01T17:08:41Z","HotpageNews",-71.0588801,42.3600825,"Massachusetts","Boston"
"9",1101605175536570368,"CDC: Dangerous flu strain overtakes H1N1 this season - http://hotpagenews.com/r/254678","H1N1","2019-03-01T17:08:35Z","Hotpage_News",-95.712891,37.09024,"Kansas","Jefferson"
"10",1101592193997987840,"Tell that to the cold and flu virus. You know how many people don't get a flu shot, they still go out into public, and still go to work. H1N1 eh? Didn't matter if you got a flu shot or not it was a super bug.","H1N1","2019-03-01T16:17:00Z","AdeUSAGreenLib",-95.712891,37.09024,"Kansas","Jefferson"
"11",1101578253716934656,"Tropism and Infectivity of a Seasonal A(H1N1) and a Highly Pathogenic Avian A(H5N1)
#
Influenza Virus in Primary Differentiated Ferret Nasal Epithelial Cell Cultureshttps://jvi.asm.org/content/early/2019/02/22/JVI.00080-19 …","H1N1","2019-03-01T15:21:36Z","thelonevirologi",-95.712891,37.09024,"Kansas","Jefferson"
"15",1101571698246053888,"INDIA - 10 New H1N1 Cases In Surat City - Four In Rural http://dlvr.it/QzzLl3","H1N1","2019-03-01T14:55:33Z","danwolfe_me",-95.4568133,37.1077049,"Kansas","Angola"
"17",1101564518587617280,"3. In most parts of the country, for most parts of this
#
flu season, H1N1 has been the dominant virus. But H3N2, which is nastier, is making a late surge. Wash your hands, folks. Stunningly little flu B around. pic.twitter.com/A1xjpuAU86","H1N1","2019-03-01T14:27:01Z","HelenBranswell",-71.0588801,42.3600825,"Massachusetts","Boston"
"18",1101563430060937216,"I’ve been saying for YEARS that we need to raise $50k to have every vaccine tested to see what is REALLY coming through that needle. This clearly came into focus for me in 2009, with the H1N1 “Swine... https://www.facebook.com/story.php?story_fbid=10216116516399799&id=1057054842 …","H1N1","2019-03-01T14:22:42Z","GrandmasterLMT",-74.443347,40.876952,"New Jersey","Mountain Lakes"
