"","id","text","queryMetadata.query","created_at","user.screen_name","longitude","latitude","state","city"
"29",1083371881888133120,"#
nohaygasolina ¿Se acuerdan de la Farsa que armó Felipe Huachicol con una supuesta emidemia mortarl de infuenza? (dos años después de esta pantomima la OMS anunció que H1N1 no era mortal). ¿Hiciste tanto trama aquella vez ó eres inconsistente?","H1N1","2019-01-10T09:35:59Z","HumbertoMunoa",-87.6642641,41.8531528,"Illinois","Chicago"
"32",1083262606213693440,"La guerra de la industria farmacéutica contra nuestra salud Roche (y Novartis, en el cuarto puesto) se han beneficiado ampliamente de las alarmas gripales (primero la aviar y después la A/H1N1) a través de la venta de Tamiflu por parte http://bloglemu.blogspot.com/2010/07/la-guerra-de-la-industria-farmaceutica.html …","H1N1","2019-01-10T02:21:46Z","Politica_Econom",-74.0036997,40.718939,"New York","New York City"
"34",1083252113076039680,"Entre las economía, el H1N1, la K invertida, los volcanes activos, los terremotos, las inundaciones, la leche radioactiva, y ahora el desabasto de gasolina. Empiezo a creer que este nivel es un tutorial para que desbloquear las habilidades necesarias para el apocalipsis zombie. pic.twitter.com/CkBT4sqzns","H1N1","2019-01-10T01:40:04Z","duende_chilango",-96.6887561,32.8436493,"Texas","Dallas"
"53",1083148841736683520,"Nos pueden dejar sin agua, nos pueden quitar la gasolina, nos pueden aislar por H1N1, pero jamas nos quiten nuestros tacos!","H1N1","2019-01-09T18:49:42Z","aldoazaid",-77.0315403,38.9147011,"District of Columbia","Washington"
"97",1082883500259258368,"era H1N1 toy to tonto","H1N1","2019-01-09T01:15:20Z","TonaMLR",-117.1214139,33.0144484,"California","San Diego"
"112",1082829602572124160,"Hablando de
#
nohaygasolina ... alguien recuerda aquello de la epidemia de influenza A (H1N1) en el 2009 ? te tocó andar de farmacia en farmacia consiguiendo cubrebocas etc etc etc ?","H1N1","2019-01-08T21:41:09Z","solociudadanos",-122.300143,47.8205805,"Washington","Lynnwood"
"134",1082743140316934144,"H1N1 Identificado como el Virus Principal de la Gripe en SD - http://bit.ly/2AxCGTm pic.twitter.com/V7aTy7xq3p","H1N1","2019-01-08T15:57:35Z","LaPrensaSD",-117.1610838,32.715738,"California","San Diego"
"156",1082578142693392384,"Periodista en contra de las vacunas muere de gripe H1N1 a los 26 años https://laprensafl.com/2019/01/07/periodista-en-contra-de-las-vacunas-muere-de-gripe-h1n1-a-los-26-anos/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1546936189 …pic.twitter.com/RDN7HxVpSF","H1N1","2019-01-08T05:01:57Z","prensafl",-81.3792365,28.5383355,"Florida","Orlando"
"158",1082574503165726720,"Periodista en contra de las vacunas muere de gripe H1N1 a los 26 años | La Raza https://laraza.com/2019/01/07/periodista-en-contra-de-las-vacunas-muere-de-gripe-h1n1-a-los-26-anos/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1546938056 …pic.twitter.com/Bu4v84kV6p","H1N1","2019-01-08T04:47:29Z","larazachicago",-87.6297982,41.8781136,"Illinois","Chicago"
"167",1082510441669115904,"Hoy vi sin tráfico vehicular a mi querida GDL, la última vez que vi algo similar en pleno día hábil, fue en 2009 con el virus H1N1 ¿Recuerdan?
#
DesabastoDeGasolina","H1N1","2019-01-08T00:32:56Z","eduardo_carrera",-84.3640829,33.7589188,"Georgia","Atlanta"
"184",1082426715979333632,"Mueren diez personas por la gripe A H1N1 desde diciembre en Georgia, Estados Unidos.
#
NoticiasRNN
@
ramonn14pic.twitter.com/CG97mQmQU2","H1N1","2019-01-07T19:00:14Z","NoticiasRNN",-77.050176,38.8892686,"District of Columbia","Washington"
