"","id","text","queryMetadata.query","created_at","user.screen_name","longitude","latitude","state","city"
"3",1087133889066397696,"“Crisis” of Seriously Ill Migrants Slams Border Patrol — TB, Pneumonia, Influenza, Parasites http://jwatch.us/x71z5W  via
@
JudicialWatch","influenza","2019-01-20T18:44:51Z","DeanGilkerson",-82.5187629,37.4792672,"Kentucky","Pikeville"
"4",1087133186797326336,"@
CNN more fake news from CNN.Weeks after mainstream media outlets reported illegal immigrants don’t bring disease into the U.S.,the Border Patrol revealed it's getting slammed daily with dozens of illegal immigrants carrying“serious illnesses""including TB, influenza, & pneumonia.","influenza","2019-01-20T18:42:04Z","ScottyG11B2P",-86.5804473,35.5174913,"Tennessee","Sims Spring"
"8",1087130833461366784,"Weeks after mainstream media outlets reported illegal immigrants don’t bring disease into the U.S., the Border Patrol revealed it's getting slammed daily with dozens of illegal immigrants carrying “serious illnesses"" including TB, influenza, & pneumonia. http://jwatch.us/jhBNho","influenza","2019-01-20T18:32:43Z","realDonaldVoter",-117.9298493,33.6188829,"California","Newport Beach"
"9",1087130507475861504,"Weeks after mainstream media outlets reported illegal immigrants don’t bring disease into the U.S., the Border Patrol revealed it's getting slammed daily with dozens of illegal immigrants carrying “serious illnesses"" including TB, influenza, & pneumonia. http://jwatch.us/jhBNho","influenza","2019-01-20T18:31:25Z","TheUrbanPatriot",-95.712891,37.09024,"Kansas","Jefferson"
"10",1087130149881929728,"Weeks after mainstream media outlets reported illegal immigrants don’t bring disease into the U.S., the Border Patrol revealed it's getting slammed daily with dozens of illegal immigrants carrying “serious illnesses"" including TB, influenza, & pneumonia. http://jwatch.us/jhBNho","influenza","2019-01-20T18:30:00Z","JudicialWatch",-77.0368707,38.9071923,"District of Columbia","Washington"
"12",1087129494303977472,"Things that have helped my throat feel better: Ramen Water Gatorade Ice cream Medicine Bitching about it on Twitter Pretending I'm anything and anywhere else.
#
cold
#
flu
#
influenza
#
strepthroat
#
sorethroat
#
miserable
#
killme","influenza","2019-01-20T18:27:23Z","LawofDestiny",-73.8926498,40.7469662,"New York","New York City"
"14",1087129315957891072,"You want to take people to civil court because they didn’t get the influenza shot and infected someone with influenza? That seems crazy to me.","influenza","2019-01-20T18:26:41Z","AubreyWM8",-95.712891,37.09024,"Kansas","Jefferson"
"17",1087123864172122112,"because you DON’T get your flu shot at the appropriate time and you’re gonna get influenza dumbass","influenza","2019-01-20T18:05:01Z","aureums",-120.8958242,38.8375215,"California","Garden Valley"
"19",1087122767479300096,"I'm getting flashbacks to when I was 8, post op...I was bit by a dog and had to be rushed into surgery. I'm saying it feels like someone shoved a tube down my throat. It fucking HURTS. Q^Q
#
cold
#
influenza
#
sorethroat
#
misery","influenza","2019-01-20T18:00:40Z","LawofDestiny",-73.8926498,40.7469662,"New York","New York City"
"24",1087115098269863936,"We’ll be discussing John M. Barry’s “The Great Influenza” during this month’s Books, Booze & Brains on Jan. 29. Are you ready? Join us and special guest Chad Priest, CEO of American Red Cross - Indiana, at
@
AshandElmCider beginning at 6:30 p.m. See you there!pic.twitter.com/kUcC437kdO","influenza","2019-01-20T17:30:11Z","IndianaMuseum",-86.1599149,39.7688547,"Indiana","Indianapolis"
"25",1087114701601939456,"Parents/Guardians, Since we have a three day weekend, please consider washing and disinfecting backpacks, lunchboxes and jackets and help us avoid the spread of influenza. Let’s keep our students and teachers healthy!
#
StayHealthy","influenza","2019-01-20T17:28:37Z","MeadowParkEl",-80.0533746,26.7153424,"Florida","City place"
