"","id","text","queryMetadata.query","created_at","user.screen_name","longitude","latitude","state","city"
"20",1090740845127630848,"Chapines - aprovechemos estos recursos. El virus de la influenza anda con todo. Comparte!
#
ConsuladoDeGuatemalaDenver https://www.instagram.com/p/BtRpXAqBOb8ryhJjFs9CVwsfUTgM2FJVlA9eP80/?utm_source=ig_twitter_share&igshid=1e7wvm2d5uiaa …","influenza","2019-01-30T17:37:37Z","nelsongc89",-104.990251,39.7392358,"Colorado","Denver"
"22",1090736850891882496,"Influencer en paraguay, sos cuando ya te agarro 2 veces la influenza...","influenza","2019-01-30T17:21:44Z","ortizkennedy",-95.712891,37.09024,"Kansas","Jefferson"
"42",1090717853563699200,"Test de Influenza A y B si sale positivo y si los síntomas son recientes Oseltamivir si ya tienes más de 72 horas de síntomas de resfrío un caldo de la abuelita descanso y NyQuil","influenza","2019-01-30T16:06:15Z","vymcmd",-95.712891,37.09024,"Kansas","Jefferson"
"126",1090671148839378944,"¡Si se enferma con la influenza los antibióticos no trabajan! Hay medicamentos antivirales que le puede recetar su proveedor de salud, especialmente si usted es una persona de alto riesgo, como los adultos mayores y los niños. Para más: http://j.mp/2G6yuxp
#
FightFlupic.twitter.com/cX5DU7goIQ","influenza","2019-01-30T13:00:40Z","TuSNHD",-115.1398296,36.1699412,"Nevada","Las Vegas"
"192",1090631943283245056,"Influenza.","influenza","2019-01-30T10:24:52Z","R_Whiskey",-81.6943605,41.49932,"Ohio","Cleveland"
"203",1090620628418334720,".
@
Claudiashein , jefa de gobierno de la
#
CDMX , descarta epidemia de influenza en el nuevo grupo de migrantes que llegó a la capital","influenza","2019-01-30T09:39:55Z","ChrisVignettes",-95.705278,37.2235166,"Kansas","Independence"
"214",1090615949374320640,"Ahora un mal chiste: La gente enferma de influenza, son influencers.","influenza","2019-01-30T09:21:19Z","sabes677",-122.0317953,37.3140052,"California","Cupertino"
"231",1090602541170085888,"Ya fuiste al médico, no vaya a ser influenza. Que mejores.","influenza","2019-01-30T08:28:02Z","wenzelcanto",-77.0315403,38.9147011,"District of Columbia","Washington"
"253",1090555551224877056,"La miglior cura per l’influenza pic.twitter.com/JNFJNjz63g","influenza","2019-01-30T05:21:19Z","Palpica79",-95.9036356,36.0766378,"Oklahoma","Tulsa"
"259",1090528888567091200,"Eh certo, la depressione si cura tenendo un diario. Ma ce la fate? La depressione si cura con la terapia, si cura andando da un dottore che sì, ti prescrive anche farmaci, come un normale medico. O voi idioti bevete camomilla quando avete l’influenza? https://twitter.com/ProVita_Tweet/status/1085612892869791744 …","influenza","2019-01-30T03:35:22Z","parahorizons",-122.653932,45.499473,"Oregon","Portland"
"263",1090509905545564160,"Efectos de la vacunación https://espanol.cdc.gov/enes/flu/about/qa/vaccineeffect.htm … ""estudios recientes han demostrado que la vacuna contra la influenza reduce el riesgo de contraer la enfermedad en un 40% a un 60% en la población general""","influenza","2019-01-30T02:19:56Z","balkraix",-105.1083999,40.4077218,"Colorado","Loveland"
"277",1090477904880750592,"influenza as a virus vs influenza in a vaccine pic.twitter.com/l733Zp4tYa","influenza","2019-01-30T00:12:47Z","graemecote",-118.2436849,34.0522342,"California","Los Angeles"
"287",1090463286540333056,"Me dio influenza empezando el año. Sé lo q estás pasando.","influenza","2019-01-29T23:14:41Z","BNovoaB",-95.3698028,29.7604267,"Texas","Houston"
"321",1090419341894537216,"Amen, sister.","influenza","2019-01-29T20:20:04Z","emmdub559",-122.2940175,40.197818,"California","Blunt"
"335",1090408754296700928,"Contingencia como tal, no. Influenza presenta este tipo de comportamiento cada dos años. Si hay más casos, pero es lo que se tiene contemplado","influenza","2019-01-29T19:38:00Z","DraAChvez",-77.0315403,38.9147011,"District of Columbia","Washington"
"342",1090399193032740864,"¿Es resfrío o influenza? Averigua la diferencia y siempre consulta a tu médico ante cualquier duda: http://bit.ly/2B9E8eV
#
Felizmiércolespic.twitter.com/gvSyuu9MBU","influenza","2019-01-29T19:00:00Z","USAGovEspanol",-77.0368707,38.9071923,"District of Columbia","Washington"
"344",1090397748803919872,"¿Cuál es la diferencia entre un resfriado y la influenza?
#
vacúnatepic.twitter.com/oukOLEWmos","influenza","2019-01-29T18:54:16Z","ppalbureau",-87.6642641,41.8531528,"Illinois","Chicago"
"357",1090390522072649728,"¿Ya te vacunaste contra la Influenza?","influenza","2019-01-29T18:25:33Z","DrogonReigns",-83.985,42.43472,"Michigan","Putnam Township"
"397",1090346754350948352,"Influenza A.","influenza","2019-01-29T15:31:38Z","AimeeN_Kent12",-82.3484618,31.7782514,"Georgia","Baxley"
"406",1090342469613637632,"q duro me ha dado la influenza, hija’el diablo","influenza","2019-01-29T15:14:36Z","Patriciarivee",-81.4736377,28.4722475,"Florida","Orlando"
"436",1090323871864098816,"*social media influenza","influenza","2019-01-29T14:00:42Z","antilight9",-94.5785667,39.0997265,"Missouri","Kansas City"
"437",1090321017237590016,"Quando dico a mio padre che ho l'influenza e lui che mi risponde ""Ma allora adesso sei un' influencer"".","influenza","2019-01-29T13:49:22Z","Gigia_Ally",-117.078355,33.01412,"California","San Diego"
"447",1090315628265787392,"¿Que lugar ocupa EDOMEX por muertes de influenza a nivel nacional? http://tinyurl.com/yb2nhyud pic.twitter.com/triQiRZlw8","influenza","2019-01-29T13:27:57Z","Alex_MaldonadoS",-96.9488945,32.8140177,"Texas","Irving"
"452",1090311444267261952,"Ocupa Edoméx segundo lugar en muertes por influenza del país https://www.hoyestado.com/2019/01/ocupa-edomex-segundo-lugar-en-muertes-por-influenza-del-pais/ …","influenza","2019-01-29T13:11:19Z","bxca_tuki",-94.450139,39.080794,"Missouri","Independence"
"507",1090286389353164800,"Enero ya duro una influenza, una convención de MLS, y un esguince de tobillo! Yaaaa por favor!!!
@
zadkieljm","influenza","2019-01-29T11:31:46Z","leon0412",-84.3640829,33.7589188,"Georgia","Atlanta"
"545",1090271840650620928,"Cuando la influenza se vuelve tan popular que se vuelve Influenzer.","influenza","2019-01-29T10:33:57Z","saltasolt",-74.00072,40.6121165,"New York","New York City"
"561",1090263412553134080,"Aumenta la mortalidad en casos de Influenza en Sonora
#
Nogales https://infonogales.com/aumenta-la-mortalidad-en-casos-de-influenza-en-sonora/ …pic.twitter.com/R5u7DKAZO3","influenza","2019-01-29T10:00:28Z","infonogalescom",-110.9688009,32.1634763,"Arizona","Tucson"
"589",1090255300941307904,"@
warkentin ¿La vacuna es vs la influenza estacional o la cepa H1N1, o ambas cepas?","influenza","2019-01-29T09:28:14Z","Bertalanffy",-96.6887561,32.8436493,"Texas","Dallas"
"606",1090252623603740672,"@
asilascosasw Ahí les van mis perrhijas B&B (Brownie y Brava). Saludos... síganle con lo de la vacuna de la influenza. En muchos lugares no hay pic.twitter.com/NgK99EnYY0","influenza","2019-01-29T09:17:36Z","CarmiAG",-96.6887561,32.8436493,"Texas","Dallas"
"619",1090237270760873984,"Influenza","influenza","2019-01-29T08:16:35Z","HourlyDeath",-84.3640829,33.7589188,"Georgia","Atlanta"
"620",1090237036978716672,"Influenza","influenza","2019-01-29T08:15:39Z","doll_lenses",-96.8059241,32.9072324,"Texas","Dallas"
"635",1090209719958949888,"influenza pala siya este influencer","influenza","2019-01-29T06:27:07Z","watdafraank",-122.546595,37.905661,"California","Mill Valley"
