SubTopic,Words,Count
Facebook,people,3568
Facebook,facebook,3211
Facebook,president,2315
Facebook,years,2096
Facebook,percent,1781
Facebook,opinion,1672
Facebook,twitter,1647
Facebook,political,1634
Facebook,state,1303
Facebook,white,1160
Amazon,amazon,1091
Amazon,bezos,276
Amazon,people,275
Amazon,google,266
Amazon,apple,184
Amazon,facebook,165
Amazon,percent,159
Amazon,years,157
Amazon,online,138
Amazon,content,126
Google,google,14494
Google,people,1137
Google,facebook,1105
Google,apple,671
Google,store,580
Google,amazon,573
Google,media,573
Google,trump,553
Google,android,521
Google,years,520
Microsoft,microsoft,9869
Microsoft,windows,1096
Microsoft,sharepoint,832
Microsoft,google,805
Microsoft,software,588
Microsoft,online,494
Microsoft,azure,427
Microsoft,support,381
Microsoft,dynamics,371
Microsoft,nintendo,345
Apple,apple,12093
Apple,music,1005
Apple,people,940
Apple,google,815
Apple,facebook,694
Apple,percent,665
Apple,china,614
Apple,samsung,511
Apple,years,509
Apple,computer,499
